评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别,情感分析
23年04月15日 13:49,"小孩子都有危机感了<img alt=""[污]"" title=""[污]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/10/2018new_wu_org.png"" /><img alt=""[污]"" title=""[污]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/10/2018new_wu_org.png"" />",来自湖南,小孩子都有危机感了[污][污],湖南,女,0.045648008
23年04月15日 13:52,"小孩子还能有个适应过程，刚毕业的大学生就不一定了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自广东,小孩子还能有个适应过程，刚毕业的大学生就不一定了[允悲],其他,男,0.996459148
23年04月15日 14:34,"ai是一个工具没错，但是，这个超强的工具的管理权限或者高级权限在极少数人手上<img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" />",来自贵州,ai是一个工具没错，但是，这个超强的工具的管理权限或者高级权限在极少数人手上[摊手],贵州,男,0.96874953
23年04月15日 14:40,别说小孩了。我刚刚被ai给淘汰了。,来自北京,别说小孩了。我刚刚被ai给淘汰了。,北京,女,0.428866398
23年04月15日 14:53,畸形教育，我们国家99%的孩子从小就被教育长大挣钱。。,来自天津,畸形教育，我们国家99%的孩子从小就被教育长大挣钱。。,天津,男,0.99592844
23年04月15日 14:19,"这不是上次停车场讲英文的嘛<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自河南,这不是上次停车场讲英文的嘛[二哈],山西 吕梁,男,0.167610687
23年04月15日 14:01,小孩有了霍金的焦虑…,来自北京,小孩有了霍金的焦虑…,北京 朝阳区,男,0.673510582
23年04月15日 14:57,还是那个观点，好的科技，是造福人类，服务于人类，而不是取代人类....,来自广东,还是那个观点，好的科技，是造福人类，服务于人类，而不是取代人类....,广东 广州,男,0.999795921
23年04月15日 14:14,"往往事与愿违，最后变成ai是小女孩的主人。<img alt=""[悲伤]"" title=""[悲伤]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ee/2018new_beishang_org.png"" />",来自广东,往往事与愿违，最后变成ai是小女孩的主人。[悲伤],广东 汕头,男,0.996663925
23年04月15日 14:48,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 我为什么要点进来听这个本该有点有趣的对话<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />这小女孩一口标准英语令我respect啊",来自上海,#小学女生因AI产生就业焦虑# 我为什么要点进来听这个本该有点有趣的对话[微笑]这小女孩一口标准英语令我respect啊,广东,男,0.996851099
