评论时间,评论者IP归属地,评论内容
2024-7-13 23:44,来自北京,#北大考古毕业生就业率100%#北大清华无论什么专业就业率100%，太正常了： 考古学专业是小众专业，全国开设的都不多，大概全国30多所高校开设，其中211以上高校20所（其中985高校2所），招生人数很少，大多一个班，全国1千多人而已。
2024-6-15 18:53,来自重庆,#高校毕业生就业# 知道为什么这公司留不住人吗，因为成功走的了人都脱了层皮
2024-7-4 23:29,来自山西,#规培考试不应成为一锤子买卖##恢复规培结业一年两试##医学研究生出来卖地瓜##张雪峰对于学医的观点#
2024-7-9 15:07,来自河南,#禁止中小学幼儿园所有外教# 铲除祸害儿童的外教产业链。
2022-7-30 0:59,来自广东,#考研考公同时上岸选择哪个#赞许这个观点现在求稳最重要
2022-7-30 0:58,来自广东,#考研考公同时上岸选择哪个#赞许这个观点现在求稳最重要
2022-7-30 1:17,来自广东,#考研考公同时上岸选择哪个#赞许这个观点现在求稳最重要
2022-7-30 0:54,来自广东,#考研考公同时上岸选择哪个#赞许这个观点现在求稳最重要[团宝]
2024-8-23 10:28,来自浙江,#你真是瘦了# 没办法 林强遇见莎姐嘴就笨了
2024-6-22 11:58,来自江苏,#热评热转领红包#  与我所有原创博文互动，产生热评热转都有红包拿哦！
2024-5-31 1:40,来自几内亚,#她被上岸困住的那五年#
2024-5-26 19:02,来自中国香港,#真的建议大家考北京大学#
2024-3-12 17:16,来自江苏,。。。我们这儿有南大本科复旦研究生浙大博士教乡镇高中
2024-6-17 15:41,来自河北,//@其他用户:如果是一线的话，买个房，吃点儿租金。然后上普通的大学，找个普通的工作，两个相加，好像还不错。
2024-7-14 1:08,来自江苏,？那个叫安庆的说的这是人话？
2024-6-12 17:36,来自北京,@其他用户
2024-8-30 9:26,来自重庆,@其他用户
2024-9-11 8:05,来自北京,@其他用户 直接宿舍就业
2024-9-9 17:41,来自山东,@其他用户 
2023-4-8 23:14,来自四川,@其他用户 
2024-9-8 19:51,来自陕西,@其他用户 
2024-7-25 13:08,来自四川,@其他用户 
2023-3-10 15:09,来自北京,@其他用户：  我们发起了一个公益项目：后浪青年赋能计划，旨在帮助一般家庭、困难家庭的大学生取得更好的发展，项目内容包括职业生涯规划辅导、求职面试辅导、导师结对答疑解惑、留学考研深造辅导、求职推荐等内容，为公益项目，不收取任何费用。大家考完了可以参加。详细介绍： 网页链接
2024-9-11 10:03,来自北京,@其他用户 
2024-5-27 7:18,来自浙江,@其他用户 
2023-6-6 10:48,来自四川,@其他用户 
2024-7-9 14:18,来自广东,@其他用户 
2024-9-9 11:17,来自安徽,@其他用户 
2024-5-31 9:58,来自福建,@其他用户 
2024-9-8 0:12,来自江西,@其他用户 
2024-9-14 8:17,来自山东,@其他用户 
2023-4-25 9:56,来自上海,@其他用户 
2024-5-26 20:17,来自广西,@其他用户 
2024-9-10 10:08,来自江苏,@其他用户 
2024-8-10 19:13,来自四川,“把找工作当作人生的第一份工作”
2024-6-27 8:19,来自安徽,“我确实需要一些信息 虽然其实对我来说这些信息没啥用”你搁这装什么呢
2023-3-10 15:45,来自广东,“找个环境正常点、工作量正常点、收入待遇好点的工作，想找个有双休+月薪5000+遵守劳动法+工作环境正常点+35岁不被辞退的工作”说到心坎坎里去了 我的期望没有很大 公司正常点 这对每个普通的大学生都是友好的 现在公司动不动就画饼 不然996 底薪一两千 提成无上限一样的工资
2024-5-28 13:55,来自日本,……真就是步日本的后尘……
2024-5-30 20:04,来自江苏,1⃣️ 华科的老师学生比较拼、也就是吃苦耐劳，2⃣️ 况且华科的生源也不错，3⃣️ 华科是传统工科强效，和产业界联系密切。所以在就业市场受欢迎。这一点比很多综合性大学强。
2024-7-6 19:15,来自四川,1000万大学生毕业就工作，这样的国家到底需要提供多少工作岗位？是不是要先把年纪大的全开了腾位置？
2024-7-25 12:59,来自广东,1300万，比亚迪解决了1万，🐮的
2024-7-25 10:22,来自湖南,19年入学21年毕业，某校英语硕士最后一批2年
2024-6-5 15:44,来自江苏,2020年开始，研究生大量扩招，就是为了延缓就业，说来说去就是岗位少了
2024-5-13 23:37,来自浙江,2021年6月30日毕业的没有？？一般都是6月份毕业的好吗…
2024-9-12 12:46,来自广东,22年毕业的MIT人，在做留学文案，当然也是时常辱骂工作哈哈
2023-2-1 20:09,来自广东,2年制+1，毕业之前一直担心自己延毕，因为导师不指导论文，所以耽误了找工作，21年毕业的，毕业时身边四个室友全都上岸体制内，而我备考了整整一年，一年没工作没收入，仍然没考上，直到去年11月入职了高校合同制，虽然不是体制内，但是目前工作也不辛苦，工资也可以。每个人都有自己的花期，终会来的
2024-7-25 10:52,来自吉林,35岁之后没工作了哈哈哈
2024-7-7 10:49,来自湖北,5％的人读大学，昰天之骄子；10%的人读大学，是宝贵人才；50%以上的人读大学，不骄不贵，一般人才而已。
2024-3-28 13:54,来自江苏,5000双休真的很难
2024-6-17 17:01,来自北京,500万买个德胜学区房或北五环品质一居室，年租金8万，ta不香吗🙈
2024-5-30 13:27,来自陕西,60 35就不错了
