评论时间,评论者IP归属地,评论者性别,评论内容,情感分析
2024-7-13 23:44,来自北京,男,#北大考古毕业生就业率100%#北大清华无论什么专业就业率100%，太正常了： 考古学专业是小众专业，全国开设的都不多，大概全国30多所高校开设，其中211以上高校20所（其中985高校2所），招生人数很少，大多一个班，全国1千多人而已。,0.12765668999311797
2024-6-15 18:53,来自重庆,女,#高校毕业生就业# 知道为什么这公司留不住人吗，因为成功走的了人都脱了层皮,0.6239479207954631
2024-7-4 23:29,来自山西,男,#规培考试不应成为一锤子买卖##恢复规培结业一年两试##医学研究生出来卖地瓜##张雪峰对于学医的观点#,0.9931305086673224
2024-7-9 15:07,来自河南,男,#禁止中小学幼儿园所有外教# 铲除祸害儿童的外教产业链。,0.07042258839910032
2022-7-30 0:59,来自广东,男,#考研考公同时上岸选择哪个#赞许这个观点现在求稳最重要,0.44339764961391837
2022-7-30 0:58,来自广东,女,#考研考公同时上岸选择哪个#赞许这个观点现在求稳最重要,0.44339764961391837
2022-7-30 1:17,来自广东,女,#考研考公同时上岸选择哪个#赞许这个观点现在求稳最重要,0.44339764961391837
2022-7-30 0:54,来自广东,男,#考研考公同时上岸选择哪个#赞许这个观点现在求稳最重要[团宝],0.5245001206612627
2024-8-23 10:28,来自浙江,女,#你真是瘦了# 没办法 林强遇见莎姐嘴就笨了,0.2517031946648298
2024-6-22 11:58,来自江苏,女,#热评热转领红包#  与我所有原创博文互动，产生热评热转都有红包拿哦！,0.004198496586571787
2024-5-31 1:40,来自几内亚,男,#她被上岸困住的那五年#,0.09264648302646739
2024-5-26 19:02,来自中国香港,男,#真的建议大家考北京大学#,0.20008359150192612
2024-3-12 17:16,来自江苏,女,。。。我们这儿有南大本科复旦研究生浙大博士教乡镇高中,0.9976253255447137
2024-6-17 15:41,来自河北,男,//@既然是微博昵称就不能太长:如果是一线的话，买个房，吃点儿租金。然后上普通的大学，找个普通的工作，两个相加，好像还不错。,0.5826403244102658
2024-7-14 1:08,来自江苏,女,？那个叫安庆的说的这是人话？,0.4258140467980732
2024-6-12 17:36,来自北京,女,@5secondsofsummer_ 来看看,0.5
2024-8-30 9:26,来自重庆,男,@JUST-JIASI,0.5
2024-9-11 8:05,来自北京,男,@Queen-ty 直接宿舍就业,0.9162639243527421
2024-9-9 17:41,来自山东,女,@Sesehunnier @屁大点事儿分享者_ @我善变得很,0.7354143672458169
2023-4-8 23:14,来自四川,男,@乘风嫊,0.7189313965907609
2024-9-8 19:51,来自陕西,女,@吃块小菠萝,0.7023318859135206
2024-7-25 13:08,来自四川,男,@法治四川,0.584999218259763
2023-3-10 15:09,来自北京,男,@耿向顺: 我们发起了一个公益项目：后浪青年赋能计划，旨在帮助一般家庭、困难家庭的大学生取得更好的发展，项目内容包括职业生涯规划辅导、求职面试辅导、导师结对答疑解惑、留学考研深造辅导、求职推荐等内容，为公益项目，不收取任何费用。大家考完了可以参加。详细介绍： 网页链接,0.9999999967293989
2024-9-11 10:03,来自北京,男,@贾东祥,0.9780603967888042
2024-5-27 7:18,来自浙江,男,@居南山傍水,0.8764245337775786
2023-6-6 10:48,来自四川,女,@岚岚与泡泡,0.9762172202448877
2024-7-9 14:18,来自广东,男,@暖夕酱 @作家圆圆,0.9968251350605194
2024-9-9 11:17,来自安徽,女,@圈圈南极,0.8020859269935734
2024-5-31 9:58,来自福建,女,@赛博喜剧人 @我叫睿仔,0.9993986592840105
2024-9-8 0:12,来自江西,女,@酸芒果加辣椒盐,0.8635128161373168
2024-9-14 8:17,来自山东,男,@我的印象笔记,0.9516075828186904
2023-4-25 9:56,来自上海,男,@我的印象笔记,0.9516075828186904
2024-5-26 20:17,来自广西,女,@虾绿太阳,0.41940045409912174
2024-9-10 10:08,来自江苏,女,@咬我一口_,0.666338802912368
2024-8-10 19:13,来自四川,男,“把找工作当作人生的第一份工作”,0.9249544369009535
2024-6-27 8:19,来自安徽,女,“我确实需要一些信息 虽然其实对我来说这些信息没啥用”你搁这装什么呢,0.010369370668558253
2023-3-10 15:45,来自广东,女,“找个环境正常点、工作量正常点、收入待遇好点的工作，想找个有双休+月薪5000+遵守劳动法+工作环境正常点+35岁不被辞退的工作”说到心坎坎里去了 我的期望没有很大 公司正常点 这对每个普通的大学生都是友好的 现在公司动不动就画饼 不然996 底薪一两千 提成无上限一样的工资,0.0009113335023003266
2024-5-28 13:55,来自日本,女,……真就是步日本的后尘……,0.9932887498833558
2024-5-30 20:04,来自江苏,男,1⃣️ 华科的老师学生比较拼、也就是吃苦耐劳，2⃣️ 况且华科的生源也不错，3⃣️ 华科是传统工科强效，和产业界联系密切。所以在就业市场受欢迎。这一点比很多综合性大学强。,0.9999969599620041
2024-7-6 19:15,来自四川,男,1000万大学生毕业就工作，这样的国家到底需要提供多少工作岗位？是不是要先把年纪大的全开了腾位置？,0.9716931050750005
2024-7-25 12:59,来自广东,女,1300万，比亚迪解决了1万，🐮的,0.4442078191037532
2024-7-25 10:22,来自湖南,男,19年入学21年毕业，某校英语硕士最后一批2年,0.2916986138210047
2024-6-5 15:44,来自江苏,女,2020年开始，研究生大量扩招，就是为了延缓就业，说来说去就是岗位少了,0.9902379604989299
2024-5-13 23:37,来自浙江,女,2021年6月30日毕业的没有？？一般都是6月份毕业的好吗…,0.13668169209489467
2024-9-12 12:46,来自广东,男,22年毕业的MIT人，在做留学文案，当然也是时常辱骂工作哈哈,0.9952722172413666
2023-2-1 20:09,来自广东,女,2年制+1，毕业之前一直担心自己延毕，因为导师不指导论文，所以耽误了找工作，21年毕业的，毕业时身边四个室友全都上岸体制内，而我备考了整整一年，一年没工作没收入，仍然没考上，直到去年11月入职了高校合同制，虽然不是体制内，但是目前工作也不辛苦，工资也可以。每个人都有自己的花期，终会来的,0.997460245105655
2024-7-25 10:52,来自吉林,女,35岁之后没工作了哈哈哈,0.7376041600187431
2024-7-7 10:49,来自湖北,男,5％的人读大学，昰天之骄子；10%的人读大学，是宝贵人才；50%以上的人读大学，不骄不贵，一般人才而已。,0.9992068576621385
2024-3-28 13:54,来自江苏,女,5000双休真的很难,0.8277717653944973
2024-6-17 17:01,来自北京,男,500万买个德胜学区房或北五环品质一居室，年租金8万，ta不香吗🙈,0.7605873110082176
2024-5-30 13:27,来自陕西,女,60 35就不错了,0.26020348232002144
2024-6-29 16:36,来自北京,女,6应该不会，感觉AI替代更多是脑力劳动者。9也不会，出的起彩礼的应该更不会想结婚,0.9019924507946054
2024-9-10 23:16,来自湖南,男,985都不行了，那其他大学生只能去卖了,0.1597754587880329
2024-9-11 1:04,来自广西,男,985还没见到混得低于平均水平的，如果有，来找我，马上提供高于南宁平均水平的工作机会,0.002456632424211125
2024-3-27 18:53,来自广东,女,985也这样，离谱,0.37197860376690584
2024-8-18 7:45,来自广东,男,98年找工作不好找，那不是事实吧,0.003728125316094344
2024-5-27 6:00,来自辽宁,男,99年本科扩招毕业生刚好碰上wto的红利，现在的研究生扩招还有这样的机遇吗？,0.9969921599289553
2024-5-30 13:21,来自上海,男,AI 是全球性竞争，虽然有数据主权，但是高度垄断。人力规模不会很大。案例不具备普遍性。,0.762264916092005
2024-6-8 13:36,来自上海,男,ai+crypto，有天赋的话，上学+工作十年就可以财富自由,0.9998162586695116
2024-9-14 9:37,来自陕西,女,bank ing,0.5122783096101873
2024-7-20 15:37,来自广东,女,B站300多万粉,0.3997115747736788
2024-7-21 11:16,来自云南,女,B站上有他的课吗？,0.7281540238802025
2024-9-8 15:58,来自湖南,男,b站有个浙大的搞计算机视觉的up叫做“浙大it打工仔”，配合视频内容以及评论区信息食用效果最佳,0.9927518353572424
