词,词频
工作,273
专业,236
大学,172
就业,163
现在,161
毕业,111
没有,109
研究生,105
老师,96
分享,93
考研,83
真的,78
选择,73
学校,73
重要,72
不是,70
回复,70
喜欢,66
感谢,66
已经,59
允悲,59
good,58
建议,57
不要,55
超话,54
很多,53
律师,50
社区,47
知道,46
感觉,46
社会,46
不到,46
方向,46
公司,45
本科,45
生活,45
毕业生,44
鲜花,44
需要,41
可能,41
大学生,40
call,40
硕士,39
关注,38
确实,37
岗位,37
未来,37
谢谢,37
微博,36
doge,36
实用,36
不能,35
不错,35
一年,34
经验,34
找到,34
一点,33
应该,33
行业,33
问题,33
互动,32
不会,32
读研,32
学历,32
学生,31
本科生,31
准备,31
其实,30
出来,29
觉得,29
加油,29
人生,28
span,28
icon,28
em,28
适合,28
大家,27
比较,27
一起,27
企业,27
特别,27
直接,26
今年,26
晚上,26
孩子,25
感兴趣,25
完全,25
cry,25
就业率,24
普通,24
工资,24
哈哈哈,24
机会,24
时代,24
语种,24
快乐,24
能力,24
目前,23
不好,23
东西,23
学小,23
这种,23
兴趣,23
博士,22
好像,22
第一份,22
文科,22
不了,22
开学,22
一定,22
主要,22
规划,22
环境,21
十年,21
失业,21
一下,21
简历,21
焦虑,21
时间,21
过好,21
热爱,21
几年,20
实验,20
太难,20
看到,20
进入,20
二哈,20
考试,19
看看,19
面试,19
培养,19
要求,19
压力,19
意义,19
交流,19
经济,18
cn,18
研究,18
管理,18
同学,18
技术,18
知识,18
淡淡的,18
苦涩,18
高校,17
最后,17
两年,17
愿意,17
大部分,17
你好,17
快来,17
志同道合,17
理解,17
很少,16
考公,16
市场,16
国家,16
以后,16
老板,16
历史,16
情况,16
容易,16
小伙伴,16
嘻嘻,16
教师节,16
指南,16
职场,16
以前,15
几个,15
关系,15
考虑,15
化学,15
王牌,15
开通,15
旗下,15
法律,15
明白,15
教师,15
办法,14
是不是,14
公务员,14
啊啊啊,14
学术,14
单位,14
class,14
url,14
img,14
alt,14
src,14
https,14
sinaimg,14
emoticon,14
png,14
style,14
width,14
height,14
从事,14
肯定,14
教育,14
好好,14
道理,14
希望,14
了解,14
开心,14
决定,14
原来,14
野外,14
作揖,14
探索,14
法务,14
考古,13
内容,13
来说,13
扩招,13
之前,13
竞争,13
个人,13
还要,13
招聘,13
起来,13
简直,13
直播,13
不用,13
朋友,13
不同,13
事业,13
名字,13
正常,12
找个,12
发展,12
收入,12
当然,12
人才,12
尤其,12
中国,12
读博,12
当时,12
化工,12
大专,12
分析,12
门槛,12
学到,12
影响,12
继续,12
值得,12
思考,12
这是,12
这篇,12
资格证,12
节日快乐,12
小白姐,12
公开课,12
医学,11
上岸,11
两个,11
信息,11
很大,11
解决,11
退学,11
外卖,11
有没有,11
稳定,11
经历,11
北京,11
不想,11
别人,11
家里,11
非常,11
转行,11
减少,11
没什么,11
医生,11
努力,11
关键,11
工程,11
小学,11
国企,11
每天,11
转发,11
如今,11
入职,11
上课,11
提前,11
北大,10
规培,10
真是,10
之后,10
红利,10
计算机,10
阶段,10
宝宝,10
打工,10
一本,10
厉害,10
一种,10
default,10
兽医,10
同意,10
认为,10
优势,10
创业,10
文科生,10
支持,10
哈哈哈哈,10
时光,10
对口,10
概率,10
现实,10
世界,10
方面,10
获得,10
最大,10
心理学,10
收获,10
收藏,10
计算机科学,10
公正,10
案件,10
白姐,10
子公司,10
食品,10
当兵,10
法治,9
困难,9
职业,9
工科,9
到底,9
英语,9
体制,9
去年,9
AI,9
合适,9
一半,9
反正,9
医院,9
本来,9
实在,9
基本上,9
最好,9
平台,9
出路,9
读书,9
文章,9
高考,9
生物,9
最近,9
本身,9
资源,9
发现,9
没错,9
干嘛,9
增加,9
区别,9
退休,9
出现,9
简单,9
有点,9
灵活,9
生存,9
相关,9
四年,9
真是太,9
全国,8
成功,8
待遇,8
华科,8
担心,8
数据,8
视频,8
年龄,8
至少,8
上班,8
保险,8
热门,8
人员,8
价值,8
闭环,8
变成,8
浪费,8
考上,8
心态,8
实际,8
销售,8
应届生,8
二本,8
花钱,8
一家,8
三年,8
每次,8
越来越,8
必须,8
真实,8
杭州,8
严重,8
水平,8
认真,8
href,8
应届,8
以为,8
延长,8
梦想,8
下去,8
人工智能,8
为啥,8
