word,frequency
Work,273 
Profession,236 
University,172 
Employment,163 
Now,161 
Graduate,111 
No,109 
Graduate student,105 
Teacher,96 
Share,93 
Graduate Entrance Examination,83 
Truly,78 
Selection,73 
School,73 
Importance,72 
No,70 
Reply,70 
Like,66 
Thank,66 
Already,59 
Allow sad,59 
Good,58 
Suggestion,57 
No,55 
Super talk,54 
Plenty,53 
Lawyer,50 
Community,47 
Know,46 
Feel,46 
Society,46 
Not arrive,46 
Direction,46 
Company,45 
Undergraduate,45 
Life,45 
Graduate,44 
Flowers,44 
Need,41 
Possible,41 
University student,40 
Call,40 
Master,39 
Focus,38 
Truly,37 
Job,37 
Future,37 
Thanks,37 
Weibo,36 
Doge,36 
Utility,36 
Can't,35 
Good,35 
One year,34 
Experience,34 
Get,34 
